       #time[s],            tag,       mass[kg],           x[m],           y[m],           z[m],        vx[m/s],        vy[m/s],        vz[m/s],      ax[m/s^2],      ay[m/s^2],      az[m/s^2]
              0,              0,            0.1,           -0.5,           -0.4,           -0.3,           -1.0,            2.8,           -0.1,           13.0,            6.4,           11.1
              0,              1,            0.1,           -0.5,            0.1,            0.3,            0.9,            2.2,            1.6,           17.6,           -3.6,           -4.0
              0,              2,            0.1,           -1.4,           -0.9,           -1.0,           -2.0,           -0.3,           -1.1,            5.1,            2.3,            4.0
              0,              3,            0.1,            0.6,           -0.4,           -2.0,            0.1,            0.6,            0.9,           -1.1,            0.7,            3.8
              0,              4,            0.1,           -0.3,           -0.2,           -0.9,           -2.0,           -1.7,           -0.1,            4.1,            1.4,            7.3
              0,              5,            0.1,            0.9,           -0.7,           -0.7,           -0.9,            2.7,           -0.2,           -4.6,            3.3,            1.7
              0,              6,            0.1,            0.1,            0.7,           -0.9,            2.1,            0.2,            0.5,            4.7,           -2.7,            2.7
              0,              7,            0.1,            1.0,           -0.8,           -0.1,           -1.4,            3.0,           -0.9,          -15.8,           11.7,           -3.5
              0,              8,            0.1,           -1.3,            2.0,            0.3,            0.4,           -0.7,           -0.3,            1.5,           -2.6,           -0.3
              0,              9,            0.1,            0.0,           -0.0,            0.2,            1.7,            1.0,           -1.9,           -3.6,           -0.5,           -5.7
              0,             10,            0.1,           -0.4,           -0.3,           -0.1,           -1.9,            2.9,            0.8,            5.2,            3.6,           -0.8
              0,             11,            0.1,            0.8,            0.6,            0.7,           -0.3,            0.4,           -1.7,           -4.9,           -3.0,           -4.6
              0,             12,            0.1,           -0.9,           -1.0,            0.9,            0.4,            1.0,           -1.3,            3.5,            2.9,           -3.6
              0,             13,            0.1,           -0.8,            0.1,            0.7,            3.2,            1.7,           -0.8,            4.8,           -1.9,           -7.5
              0,             14,            0.1,            0.2,            0.7,            0.5,            1.2,           -1.6,            0.6,           -1.2,           -4.5,           -4.8
              0,             15,            0.1,           -0.2,           -0.1,           -0.2,            2.9,            2.4,           -1.3,           -1.8,           -2.7,            2.7
              0,             16,            0.1,           -1.0,            0.2,            0.2,            1.5,            1.3,            1.4,           10.8,           -2.6,            0.2
              0,             17,            0.1,           -0.1,            1.1,            0.5,           -2.3,           -0.8,           -0.1,           -0.8,           -4.8,           -2.7
              0,             18,            0.1,           -0.9,            0.4,            0.3,            3.8,           -2.0,            0.7,            4.0,           -4.9,           -4.5
              0,             19,            0.1,           -0.3,           -0.3,           -0.2,            1.2,           -3.1,            1.0,           -5.3,           -0.3,            7.4
              0,             20,            0.1,            0.0,            0.0,           -0.8,            1.4,            1.4,            3.0,            3.0,            9.3,            4.8
              0,             21,            0.1,            0.1,           -0.8,            0.7,           -0.9,           -3.8,           -2.7,           -1.6,            1.1,           -1.5
              0,             22,            0.1,           -0.3,           -1.4,            0.7,            1.4,            2.2,           -0.9,           -0.1,            6.0,           -2.8
              0,             23,            0.1,           -0.8,           -1.3,            0.3,           -0.2,            0.9,           -1.5,            3.5,            6.1,           -1.3
              0,             24,            0.1,            0.2,           -2.0,           -1.7,           -0.6,           -0.1,           -1.7,           -0.3,            2.1,            1.7
              0,             25,            0.1,            0.5,            0.3,           -1.3,            3.5,            1.9,           -0.1,           -4.2,           -1.2,            6.0
              0,             26,            0.1,           -0.2,            0.2,            1.1,           -2.7,           -0.6,           -2.0,           -1.2,           -2.1,           -6.4
              0,             27,            0.1,            1.3,            1.4,           -0.1,           -0.1,           -1.2,           -1.8,           -3.1,           -2.1,           -0.2
              0,             28,            0.1,            0.2,            0.2,           -0.7,           -3.0,           -3.0,            1.1,           -9.3,           -2.7,            1.7
              0,             29,            0.1,            0.2,            0.6,           -0.0,            0.6,           -0.3,            2.4,           -4.5,           -6.7,           -6.7
              0,             30,            0.1,            0.4,            0.9,           -0.4,           -1.0,           -2.3,            2.1,           -2.9,           -7.5,            2.7
              0,             31,            0.1,           -0.4,           -1.3,            1.7,           -1.1,           -1.4,           -1.2,            0.4,            2.2,           -3.2
              0,             32,            0.1,            0.3,           -0.2,           -0.3,            1.3,            0.2,            1.7,           -1.9,           10.0,           15.0
              0,             33,            0.1,            1.3,           -0.4,           -0.0,           -3.0,            1.0,           -0.9,           -3.1,            2.2,           -3.1
              0,             34,            0.1,           -0.5,           -1.0,            0.5,            1.8,            0.1,           -1.4,            1.2,            4.0,           -3.0
              0,             35,            0.1,            0.2,           -0.5,            0.0,           -3.2,            0.2,            0.0,           -4.9,            6.4,           -2.8
              0,             36,            0.1,            1.3,           -0.1,           -0.5,           -1.5,           -0.8,           -1.7,           -5.0,           -1.1,            2.1
              0,             37,            0.1,            0.1,            0.2,           -0.8,           -1.6,           -2.7,            0.2,            2.7,           -8.0,            8.5
              0,             38,            0.1,            1.7,           -1.7,           -1.4,            1.0,           -0.3,            0.5,           -1.6,            1.7,            1.2
              0,             39,            0.1,           -1.4,           -1.2,           -0.4,            0.3,            0.6,            0.8,            0.6,            7.8,           -1.6
              0,             40,            0.1,           -0.4,           -0.2,            0.9,           -0.3,           -0.6,            0.6,         -134.8,         -214.9,           62.8
              0,             41,            0.1,            1.0,           -1.0,           -1.0,           -1.3,            0.9,           -1.0,           -3.7,            4.0,            3.4
              0,             42,            0.1,           -0.2,           -0.7,           -0.3,            1.4,            1.8,           -0.8,           -1.1,            8.8,            4.8
              0,             43,            0.1,           -0.4,            0.0,            0.4,            1.2,            0.1,            1.7,           -1.2,            7.6,          -10.8
              0,             44,            0.1,           -0.7,            0.1,            0.0,           -1.9,           -1.0,            0.5,            2.4,           -6.2,            2.4
              0,             45,            0.1,            0.5,           -1.5,            2.7,            2.2,           -2.3,            1.2,           -0.4,            0.8,           -1.6
              0,             46,            0.1,            0.2,            1.5,           -1.2,            2.0,            0.4,            2.1,           -0.2,           -3.9,            2.8
              0,             47,            0.1,            1.7,           -0.1,           -1.2,           -0.9,           -1.8,            1.2,           -3.0,           -0.2,            2.1
              0,             48,            0.1,            0.8,           -0.4,           -0.5,           -0.9,            1.6,           -0.0,           -3.9,            0.0,            1.9
              0,             49,            0.1,           -0.7,            0.4,           -0.5,           -2.2,            3.6,           -1.1,            5.6,           -4.2,            5.1
              0,             50,            0.1,            1.6,           -1.2,            0.8,            1.0,           -3.1,            0.1,           -2.3,            1.8,           -1.4
              0,             51,            0.1,           -1.2,           -0.8,           -0.9,           -0.8,            0.9,            2.3,            1.5,            0.1,            2.8
              0,             52,            0.1,           -0.7,           -0.1,           -0.0,            1.4,           -2.6,           -1.8,            6.4,            4.9,            1.5
              0,             53,            0.1,            0.1,            0.1,           -1.1,            1.7,            1.0,            2.9,           -1.1,            1.5,            8.8
              0,             54,            0.1,           -0.2,            0.3,           -0.1,            1.8,           -0.8,           -3.5,            8.3,           -0.9,           -4.6
              0,             55,            0.1,           -0.1,            0.2,           -1.6,           -0.6,           -0.9,            0.3,            0.9,            0.3,            9.1
              0,             56,            0.1,            1.4,           -0.3,           -0.1,           -1.5,            1.1,           -0.8,           -8.2,           -1.9,           -0.1
              0,             57,            0.1,            0.7,           -0.8,           -0.9,           -1.7,            0.7,            0.5,           -0.1,            3.6,            5.2
              0,             58,            0.1,           -0.7,           -1.7,           -1.4,            0.2,            1.0,            1.9,            1.0,            2.6,            2.3
